"district","hour","act1","act2","act3","act4","act5"
"023","11am",7095.997,16481.6072,1505.0762,394.1626,1010.2587
"024","11am",5206.895,6380.5473,17376.4136,0,1435.004
"025","11am",3031.301,10163.8799,142.0954,278.563,595.8634
"026","11am",2925.814,1887.859,53.0817,68.3384,104.7424
"027","11am",6267.506,3839.9586,311.0216,125.4112,974.0139
"028","11am",5141.016,14028.6413,8987.6797,0,853.5542
"029","11am",4719.248,18209.2946,1256.7575,88.0438,791.3095
"030","11am",6588.144,24135.778,2687.1037,1851.4311,1173.8349
"031","11am",4912.847,2568.129,181.4246,134.4042,287.6925
"032","11am",6193.205,5970.9882,943.4377,155.473,555.6388
"033","11am",3821.001,2619.7231,1514.1785,546.1734,512.2035
"034","11am",4199.015,3839.8213,142.8838,288.7712,677.1679
"035","11am",5404.191,2651.036,1788.2017,343.1073,556.4669
"036","11am",7573.349,1754.7817,479.7461,0,713.0805
"037","11am",3797.692,6243.2514,2016.3717,91.9215,409.4748
"038","11am",7220.162,9027.0671,697.5892,698.6863,898.6742
"039","11am",2973.96,1594.2664,0,222.8671,479.2466
"040","11am",5092.03,1707.0866,200.0888,0,529.933
"041","11am",6879.578,4271.2513,116.8391,546.8195,964.34
